white,black,elo,result,adj_result,name
custom,stockfish,400,0.0,0.0,games/1619892122.pgn
stockfish,custom,400,0.0,1.0,games/1619892170.pgn
custom,stockfish,400,1.0,1.0,games/1619892267.pgn
stockfish,custom,400,0.0,1.0,games/1619892368.pgn
custom,stockfish,800,1.0,1.0,games/1619892451.pgn
stockfish,custom,800,0.0,1.0,games/1619892495.pgn
custom,stockfish,800,0.5,0.5,games/1619892546.pgn
stockfish,custom,800,0.0,1.0,games/1619892673.pgn
custom,stockfish,1200,0.5,0.5,games/1619892762.pgn
stockfish,custom,1200,1.0,0.0,games/1619892823.pgn
custom,stockfish,1200,1.0,1.0,games/1619892866.pgn
stockfish,custom,1200,0.0,1.0,games/1619892942.pgn
custom,stockfish,1600,1.0,1.0,games/1619892982.pgn
stockfish,custom,1600,1.0,0.0,games/1619893093.pgn
custom,stockfish,1600,0.0,0.0,games/1619893217.pgn
stockfish,custom,1600,1.0,0.0,games/1619893413.pgn
custom,stockfish,2000,1.0,1.0,games/1619893498.pgn
stockfish,custom,2000,0.0,1.0,games/1619893589.pgn
custom,stockfish,2000,0.0,0.0,games/1619893678.pgn
stockfish,custom,2000,1.0,0.0,games/1619893771.pgn
custom,stockfish,2400,0.0,0.0,games/1619893861.pgn
stockfish,custom,2400,0.0,1.0,games/1619894044.pgn
custom,stockfish,2400,0.0,0.0,games/1619894112.pgn
stockfish,custom,2400,1.0,0.0,games/1619894187.pgn
custom,stockfish,2800,0.0,0.0,games/1619894236.pgn
stockfish,custom,2800,1.0,0.0,games/1619894367.pgn
custom,stockfish,2800,0.0,0.0,games/1619894433.pgn
