white,black,elo,result,adj_result,name, time(secs)
custom,stockfish,400,0.0,0.0,games/1619892122.pgn,48
stockfish,custom,400,0.0,1.0,games/1619892170.pgn,97
custom,stockfish,400,1.0,1.0,games/1619892267.pgn,101
stockfish,custom,400,0.0,1.0,games/1619892368.pgn,83
custom,stockfish,800,1.0,1.0,games/1619892451.pgn,44
stockfish,custom,800,0.0,1.0,games/1619892495.pgn,51
custom,stockfish,800,0.5,0.5,games/1619892546.pgn,127
stockfish,custom,800,0.0,1.0,games/1619892673.pgn,89
custom,stockfish,1200,0.5,0.5,games/1619892762.pgn,61
stockfish,custom,1200,1.0,0.0,games/1619892823.pgn,43
custom,stockfish,1200,1.0,1.0,games/1619892866.pgn,76
stockfish,custom,1200,0.0,1.0,games/1619892942.pgn,40
custom,stockfish,1600,1.0,1.0,games/1619892982.pgn,111
stockfish,custom,1600,1.0,0.0,games/1619893093.pgn,124
custom,stockfish,1600,0.0,0.0,games/1619893217.pgn,96
stockfish,custom,1600,1.0,0.0,games/1619893413.pgn,85
custom,stockfish,2000,1.0,1.0,games/1619893498.pgn,91
stockfish,custom,2000,0.0,1.0,games/1619893589.pgn,89
custom,stockfish,2000,0.0,0.0,games/1619893678.pgn,94
stockfish,custom,2000,1.0,0.0,games/1619893771.pgn,90
custom,stockfish,2400,0.0,0.0,games/1619893861.pgn,183
stockfish,custom,2400,0.0,1.0,games/1619894044.pgn,68
custom,stockfish,2400,0.0,0.0,games/1619894112.pgn,75
stockfish,custom,2400,1.0,0.0,games/1619894187.pgn,59
custom,stockfish,2800,0.0,0.0,games/1619894236.pgn,131
stockfish,custom,2800,1.0,0.0,games/1619894367.pgn,66
custom,stockfish,2800,0.0,0.0,games/1619894433.pgn,85
